City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bathsheba,BB,77.0,light rain,13.22,-59.52,Atlantis Hotel
3,Bairiki,KI,87.8,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
5,Arraial Do Cabo,BR,72.07,clear sky,-22.97,-42.03,Pousada Porto Praia
6,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Kapaa,US,71.6,thunderstorm,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
10,Busselton,AU,70.0,broken clouds,-33.65,115.33,Observatory Guest House
12,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
13,Lazaro Cardenas,MX,81.18,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
18,Kavaratti,IN,81.91,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
19,Rikitea,PF,75.38,light rain,-23.12,-134.97,Pension Maro'i
20,Huicungo,PE,76.24,overcast clouds,-7.28,-76.8,Gran Pajaten Trek
23,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
29,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
35,Upata,VE,78.01,overcast clouds,8.01,-62.4,Posada Villa Nela
38,Carnarvon,AU,73.4,clear sky,-24.87,113.63,Hospitality Carnarvon
41,Puro,PH,82.4,light rain,12.48,123.38,
43,Cap Malheureux,MU,73.99,clear sky,-19.98,57.61,Pereybere Hotel & Spa
54,Quelimane,MZ,75.2,few clouds,-17.88,36.89,Hotel Flamingo
55,Purworejo,ID,84.15,moderate rain,-6.79,111.92,Pos kampling dermo
60,Mahebourg,MU,71.6,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
65,Touros,BR,77.0,shower rain,-5.2,-35.46,INN NEW HORIZON
68,Benjamin Constant,BR,77.0,clear sky,-4.38,-70.03,CASA AVALIADA
69,Yulara,AU,77.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
73,Caxito,AO,77.0,broken clouds,-8.58,13.66,
77,Karonga,MW,78.93,broken clouds,-9.93,33.93,Sumuka Inn
80,Port Macquarie,AU,77.0,broken clouds,-31.43,152.92,Rydges Port Macquarie
81,Hithadhoo,MV,83.43,broken clouds,-0.6,73.08,Scoop Guest House
82,Dingle,PH,82.17,broken clouds,11.0,122.67,Camp Pasica
84,Faanui,PF,80.65,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Saint-Philippe,RE,71.6,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
93,Sola,VU,80.11,scattered clouds,-13.88,167.55,Ulkel Guest House
94,Jacareacanga,BR,76.64,light rain,-6.22,-57.75,Casa do Ian😎
95,Atuona,PF,79.03,broken clouds,-9.8,-139.03,Villa Enata
97,Ambon,ID,89.6,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
100,Butaritari,KI,81.55,few clouds,3.07,172.79,Isles Sunset Lodge
101,Bitung,ID,89.6,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
102,Avarua,CK,71.6,light rain,-21.21,-159.78,Paradise Inn
103,Nioro,GM,76.44,clear sky,13.35,-15.75,
104,Cabo San Lucas,MX,81.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
106,Varadero,CU,75.2,broken clouds,23.15,-81.25,Hotel Tuxpan Varadero
112,Hilo,US,75.99,heavy intensity rain,19.73,-155.09,Hilo Hawaiian Hotel
115,Sulangan,PH,83.3,overcast clouds,11.14,123.72,Maia's Beach Resort
116,Gurupi,BR,75.94,light rain,-11.73,-49.07,Via Norte Hotel
117,Inhambane,MZ,72.7,scattered clouds,-23.86,35.38,Oceano
119,Vao,NC,73.38,few clouds,-22.67,167.48,Hotel Kou-Bugny
120,Lorengau,PG,82.69,light rain,-2.02,147.27,Lorengau Harbourside Hotel
121,Noumea,NC,89.6,broken clouds,-22.28,166.46,Hôtel Le Lagon
123,Port Keats,AU,88.68,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
125,Namatanai,PG,86.68,scattered clouds,-3.67,152.43,Namatanai Hotel
129,Matara,LK,80.28,light rain,5.95,80.54,Amaloh Boutique Resort
134,Kavieng,PG,85.69,few clouds,-2.57,150.8,Nusa Island Retreat
136,Lahat,ID,77.4,overcast clouds,-3.8,103.53,Bukit Serelo Hotel
140,Gamba,GA,76.03,overcast clouds,-2.65,10.0,
141,Bambous Virieux,MU,73.99,scattered clouds,-20.34,57.76,Casa Tia Villa
146,Raha,IN,75.78,clear sky,26.23,92.52,Hotel Smriti
148,Jaguaribe,BR,77.38,clear sky,-5.89,-38.62,Hotel Pinheiro
149,Caravelas,BR,73.53,clear sky,-17.71,-39.25,Pousada dos Navegantes
159,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
161,Ugoofaaru,MV,82.74,clear sky,5.67,73.0,Ungoofaaru Inn
163,Kahului,US,87.8,clear sky,20.89,-156.47,Maui Seaside Hotel
167,Yaan,NG,73.65,overcast clouds,7.38,8.57,
169,San Patricio,US,78.8,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
171,Pedro Carbo,EC,77.0,broken clouds,-1.83,-80.23,Hotel eclipse
172,Innisfail,AU,82.4,broken clouds,-17.53,146.03,Moondarra Motel
181,Murupara,NZ,79.0,moderate rain,-38.47,176.7,Murupara Motor Camp
184,Carutapera,BR,78.85,overcast clouds,-1.2,-46.02,Lidera
185,Pocone,BR,74.88,overcast clouds,-16.26,-56.62,Hotel e Churrascaria Pantaneira
191,Bengkulu,ID,80.47,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
192,Grand Gaube,MU,73.99,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
194,Road Town,VG,81.0,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
197,Esperance,AU,71.6,clear sky,-33.87,121.9,Hospitality Esperance
204,Vila Velha,BR,73.4,clear sky,-20.33,-40.29,Hotel Vitória Palace
206,Garowe,SO,72.82,overcast clouds,8.41,48.48,Curubo Hotel
212,Saint-Georges,GD,82.13,clear sky,12.06,-61.75,Siesta Hotel
213,Tuy Hoa,VN,79.02,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
225,Quatre Cocos,MU,73.99,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
226,Teknaf,BD,80.67,clear sky,20.86,92.31,Magnum Engineering & Construction
228,Puerto Escondido,MX,78.8,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
231,Santa Ines,BR,77.04,broken clouds,-3.67,-45.38,HOTEL TOP
232,Bambanglipuro,ID,81.03,light rain,-7.95,110.28,Puri Brata
234,Galesong,ID,87.8,few clouds,-5.32,119.37,Sapriadi Appy
235,Pilar,BR,75.2,broken clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
236,Hobyo,SO,78.42,light rain,5.35,48.53,Osmani Hotel
238,Ankpa,NG,71.73,overcast clouds,7.37,7.63,AA Suites
240,Acarau,BR,77.58,clear sky,-2.89,-40.12,castelo pizzaria
242,Marovoay,MG,73.4,few clouds,-16.1,46.63,
248,Banda Aceh,ID,84.56,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
249,Makurdi,NG,75.0,overcast clouds,7.74,8.51,Doo Palace Hotel
251,Mazamari,PE,74.66,broken clouds,-11.33,-74.53,Hospedaje Ratto
258,Brazzaville,CG,75.2,scattered clouds,-4.27,15.28,Hotel Murex
259,Sao Filipe,CV,79.59,overcast clouds,14.9,-24.5,Tortuga B&B
261,Geraldton,AU,73.4,clear sky,-28.77,114.6,Broadwater Mariner Resort
263,Kaduqli,SD,75.58,broken clouds,11.02,29.72,فندق الله جابو
269,Ahuimanu,US,84.2,broken clouds,21.44,-157.84,Paradise Bay Resort
273,Port Blair,IN,81.86,scattered clouds,11.67,92.75,Fortune Resort Bay Island
274,Cabinda,AO,76.71,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
278,Cururupu,BR,77.18,overcast clouds,-1.83,-44.87,Pousada Través'cia
280,Maracacume,BR,75.16,overcast clouds,-2.04,-45.96,Motel imperial
282,Badvel,IN,77.14,clear sky,14.75,79.05,R&B Bungalow
285,Karratha,AU,86.41,clear sky,-20.74,116.85,ibis Styles Karratha
290,Gladstone,AU,78.8,overcast clouds,-23.85,151.25,Highpoint International
291,Kieta,PG,86.02,light rain,-6.22,155.63,
300,Airai,TL,77.41,broken clouds,-8.93,125.41,Juvinal Martin
310,Nazas,MX,75.25,clear sky,25.23,-104.13,Hotel Río Nazas
313,Oriximina,BR,82.83,clear sky,-1.77,-55.87,Pousada Tia Amélia
318,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
324,Bartica,GY,77.0,few clouds,6.4,-58.62,La Vista Hotel and Apartment
325,Bonthe,SL,78.35,light rain,7.53,-12.51,Bonthe Holiday Village
328,Lethem,GY,80.71,light rain,3.38,-59.8,Savannah Inn
329,Victoria,HK,80.01,scattered clouds,22.29,114.16,Mini Hotel Central
331,Conde,BR,78.8,few clouds,-7.26,-34.91,Pousada Beija Flor
333,Nishihara,JP,80.6,few clouds,26.18,127.76,Minshuku Agaihama
338,Payo,ID,77.16,overcast clouds,-3.75,103.64,Mess keban agung
340,Axim,GH,77.81,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
342,Alice Springs,AU,77.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
343,Bandarbeyla,SO,73.6,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
348,Paragominas,BR,76.03,broken clouds,-2.97,-47.48,HOTEL RODA VIVA
351,Kaeo,NZ,70.09,few clouds,-35.1,173.78,Bushido Lodge
354,Mana,GF,80.29,light rain,5.66,-53.78,LE SAMANA
356,Valledupar,CO,75.16,few clouds,10.46,-73.25,Hotel Arawak Upar
358,Cuajinicuilapa,MX,77.85,light rain,16.47,-98.42,Pozo S. XVI
361,Ndjole,GA,74.5,moderate rain,-0.18,10.76,Motel Kedyann
379,Ixtapa,MX,84.99,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
381,Sabang,ID,82.85,light rain,5.89,95.32,Hotel Citra
385,Piacabucu,BR,77.4,few clouds,-10.41,-36.43,Piaçabuçu News
387,Mogadishu,SO,79.2,light rain,2.04,45.34,Hotel Juba
389,Larap,PH,77.07,light rain,14.3,122.65,Mambulao Pacific Resort & Hotel
393,Fuerte Olimpo,PY,74.41,overcast clouds,-21.04,-57.87,Hotel Fuerte Olimpo
395,Careiro Da Varzea,BR,84.2,thunderstorm,-3.2,-59.81,POUSADA DA ALDENORA
401,Tanout,NE,75.38,clear sky,14.97,8.89,
403,Zhoucheng,CN,72.0,overcast clouds,35.91,116.31,Yingbin Restaurant
405,Zinder,NE,77.0,scattered clouds,13.81,8.99,Sountalma Ousseini
414,Hirara,JP,80.6,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
415,Mangan,IN,72.77,clear sky,27.52,88.53,Hotel Mout View
419,Roebourne,AU,86.56,clear sky,-20.78,117.13,Harding River Caravan Park
424,Guilin,CN,73.4,few clouds,25.28,110.29,Grand 0773 Hotel
