City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butembo,CD,0.15,29.28,57.79,100,100,2.73,light rain
1,Mataura,NZ,-46.19,168.86,57.99,62,76,5.99,broken clouds
2,Bathsheba,BB,13.22,-59.52,77.0,88,75,19.46,light rain
3,Bairiki,KI,1.33,172.98,87.8,62,40,5.82,scattered clouds
4,Vila Franca Do Campo,PT,37.72,-25.43,68.0,88,75,16.11,broken clouds
5,Arraial Do Cabo,BR,-22.97,-42.03,72.07,88,3,11.25,clear sky
6,Vaini,TO,-21.2,-175.2,77.0,83,75,10.29,broken clouds
7,Iwanai,JP,42.97,140.51,54.46,63,3,3.89,clear sky
8,Cape Town,ZA,-33.93,18.42,61.0,93,0,5.82,clear sky
9,Kapaa,US,22.08,-159.32,71.6,88,90,11.41,thunderstorm
10,Busselton,AU,-33.65,115.33,70.0,61,69,5.99,broken clouds
11,Tuktoyaktuk,CA,69.45,-133.04,10.4,78,20,14.99,few clouds
12,Salalah,OM,17.02,54.09,75.2,60,0,2.24,clear sky
13,Lazaro Cardenas,MX,17.96,-102.2,81.18,87,100,7.94,light rain
14,Saskylakh,RU,71.92,114.08,-0.29,92,92,5.61,overcast clouds
15,Vrakhation,GR,37.96,22.81,57.2,76,0,3.78,clear sky
16,Punta Arenas,CL,-53.15,-70.92,44.6,75,20,24.16,few clouds
17,Port Lincoln,AU,-34.73,135.87,60.85,71,22,11.12,few clouds
18,Kavaratti,IN,10.57,72.64,81.91,70,22,5.01,few clouds
19,Rikitea,PF,-23.12,-134.97,75.38,86,100,14.34,light rain
20,Huicungo,PE,-7.28,-76.8,76.24,80,99,2.3,overcast clouds
21,Bardiyah,LY,31.76,25.09,68.29,67,0,7.74,clear sky
22,Kruisfontein,ZA,-34.0,24.73,64.0,89,1,1.99,clear sky
23,Georgetown,MY,5.41,100.34,84.2,83,20,3.36,few clouds
24,Newport,GB,51.59,-3.0,48.99,97,76,10.02,broken clouds
25,Castro,BR,-24.79,-50.01,61.9,92,100,3.33,overcast clouds
26,Egvekinot,RU,66.32,-179.17,22.8,96,100,1.63,overcast clouds
27,Cherskiy,RU,68.75,161.3,7.3,94,82,7.56,broken clouds
28,Flinders,AU,-34.58,150.86,68.0,87,75,6.93,broken clouds
29,Souillac,MU,-20.52,57.52,71.6,78,40,6.93,scattered clouds
30,Henties Bay,NA,-22.12,14.28,55.99,93,0,2.24,clear sky
31,Mbala,ZM,-8.84,31.37,63.36,76,66,4.76,broken clouds
32,Ribeira Grande,PT,38.52,-28.7,68.49,91,100,13.47,moderate rain
33,Puerto Ayora,EC,-0.74,-90.35,68.0,92,51,1.01,broken clouds
34,Chokurdakh,RU,70.63,147.92,6.58,95,100,10.11,overcast clouds
35,Upata,VE,8.01,-62.4,78.01,84,100,1.01,overcast clouds
36,Nuuk,GL,64.18,-51.72,28.4,68,93,2.24,overcast clouds
37,Komsomolskiy,UZ,40.43,71.72,41.0,52,0,6.93,clear sky
38,Carnarvon,AU,-24.87,113.63,73.4,69,0,25.28,clear sky
39,Nanortalik,GL,60.14,-45.24,33.01,91,97,13.2,overcast clouds
40,New Norfolk,AU,-42.78,147.06,59.0,50,88,4.0,overcast clouds
41,Puro,PH,12.48,123.38,82.4,80,100,7.0,light rain
42,Ushuaia,AR,-54.8,-68.3,48.2,39,20,18.34,few clouds
43,Cap Malheureux,MU,-19.98,57.61,73.99,74,3,5.01,clear sky
44,San Quintin,MX,30.48,-115.95,65.05,47,0,8.52,clear sky
45,Carmarthen,GB,51.86,-4.31,51.8,81,100,9.17,overcast clouds
46,Bomet,KE,-0.78,35.34,55.0,92,92,2.42,overcast clouds
47,Hobart,AU,-42.88,147.33,59.0,54,75,10.29,broken clouds
48,Ramnagar,IN,29.4,79.12,63.93,41,0,4.79,clear sky
49,Concepcion Del Uruguay,AR,-32.48,-58.24,55.99,65,0,1.01,clear sky
50,Port Alfred,ZA,-33.59,26.89,67.42,86,85,25.66,overcast clouds
51,Albany,US,42.6,-73.97,51.01,89,100,1.5,overcast clouds
52,Beloha,MG,-25.17,45.05,63.68,93,0,1.99,clear sky
53,Lavrentiya,RU,65.58,-171.0,31.6,91,0,4.99,clear sky
54,Quelimane,MZ,-17.88,36.89,75.2,94,20,4.7,few clouds
55,Purworejo,ID,-6.79,111.92,84.15,68,100,6.33,moderate rain
56,Havre-Saint-Pierre,CA,50.23,-63.6,30.2,100,90,6.93,light snow
57,Brun,AM,39.53,46.31,46.29,53,0,5.12,clear sky
58,Nikolskoye,RU,59.7,30.79,50.0,87,75,8.95,broken clouds
59,Khatanga,RU,71.97,102.5,1.81,94,90,9.1,overcast clouds
60,Mahebourg,MU,-20.41,57.7,71.6,78,40,6.93,scattered clouds
61,Norman Wells,CA,65.28,-126.83,24.8,79,75,18.34,broken clouds
62,Bluff,NZ,-46.6,168.33,57.99,62,21,5.99,few clouds
