City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2020-10-24 00:25:04,-34.42,19.23,63.0,91,35,1.01
1,Sholokhove,UA,2020-10-24 00:25:04,47.69,34.03,57.4,93,99,7.34
2,Bluff,NZ,2020-10-24 00:22:59,-46.6,168.33,72.0,50,94,15.01
3,Pevek,RU,2020-10-24 00:25:04,69.7,170.31,26.62,93,81,9.17
4,Qaqortoq,GL,2020-10-24 00:25:04,60.72,-46.03,26.6,79,98,2.24
5,Punta Arenas,CL,2020-10-24 00:23:19,-53.15,-70.92,44.6,75,75,5.82
6,Kuito,AO,2020-10-24 00:25:04,-12.38,16.93,63.66,71,57,0.11
7,Ozark,US,2020-10-24 00:20:54,37.02,-93.21,43.0,86,88,1.99
8,Hobart,AU,2020-10-24 00:25:04,-42.88,147.33,57.99,58,75,12.75
9,Jimenez,MX,2020-10-24 00:25:04,28.33,-105.4,82.4,20,5,10.29
10,Havre-Saint-Pierre,CA,2020-10-24 00:25:05,50.23,-63.6,35.6,74,90,6.93
11,Gatton,AU,2020-10-24 00:25:05,-27.55,152.28,75.2,69,90,5.82
12,Cockburn Town,TC,2020-10-24 00:25:05,21.46,-71.14,82.92,79,94,15.86
13,Onguday,RU,2020-10-24 00:21:08,50.75,86.15,33.49,86,100,3.04
14,Kuna,US,2020-10-24 00:22:36,43.49,-116.42,54.0,20,75,5.82
15,Morgan City,US,2020-10-24 00:21:16,29.7,-91.21,73.4,100,40,3.36
16,Esperance,AU,2020-10-24 00:25:05,-33.87,121.9,57.2,82,90,5.82
17,Port Elizabeth,ZA,2020-10-24 00:23:22,-33.92,25.57,68.0,94,75,20.8
18,Bogo,PH,2020-10-24 00:25:05,11.05,124.01,80.28,82,100,8.61
19,Sao Filipe,CV,2020-10-24 00:25:05,14.9,-24.5,80.31,76,17,13.47
20,Tura,IN,2020-10-24 00:25:05,25.52,90.22,70.03,99,100,4.65
21,Busselton,AU,2020-10-24 00:25:05,-33.65,115.33,57.0,69,0,8.99
22,Butaritari,KI,2020-10-24 00:23:07,3.07,172.79,81.86,74,77,12.95
23,Ushuaia,AR,2020-10-24 00:25:06,-54.8,-68.3,42.8,70,75,9.17
24,Palasa,IN,2020-10-24 00:25:06,18.77,84.42,75.47,71,57,3.98
25,Vaini,TO,2020-10-24 00:23:00,-21.2,-175.2,77.0,78,75,9.17
26,Avarua,CK,2020-10-24 00:25:03,-21.21,-159.78,78.8,69,86,16.11
27,Lebu,CL,2020-10-24 00:23:02,-37.62,-73.65,51.13,89,100,1.36
28,Mataura,NZ,2020-10-24 00:25:06,-46.19,168.86,72.0,50,64,15.01
29,Atuona,PF,2020-10-24 00:23:22,-9.8,-139.03,78.42,74,26,19.08
30,San Clemente,US,2020-10-24 00:25:06,33.43,-117.61,69.01,74,94,8.23
31,Saint-Joseph,RE,2020-10-24 00:25:06,-21.37,55.62,69.8,68,40,3.36
32,Sulangan,PH,2020-10-24 00:25:06,11.14,123.72,81.14,80,100,11.21
33,Rikitea,PF,2020-10-24 00:25:06,-23.12,-134.97,74.01,81,74,13.85
34,Kavaratti,IN,2020-10-24 00:23:02,10.57,72.64,80.17,77,96,12.82
35,Nanortalik,GL,2020-10-24 00:25:06,60.14,-45.24,34.07,89,97,3.36
36,Norman Wells,CA,2020-10-24 00:25:06,65.28,-126.83,28.4,100,75,2.24
37,Egvekinot,RU,2020-10-24 00:25:07,66.32,-179.17,24.42,94,5,8.14
38,Touros,BR,2020-10-24 00:25:07,-5.2,-35.46,77.0,94,75,10.29
39,New Norfolk,AU,2020-10-24 00:25:07,-42.78,147.06,57.99,64,100,5.99
40,Pangnirtung,CA,2020-10-24 00:25:07,66.15,-65.71,26.64,95,100,2.86
41,Thompson,CA,2020-10-24 00:25:07,55.74,-97.86,23.0,62,75,6.93
42,Toora-Khem,RU,2020-10-24 00:24:38,52.47,96.11,31.66,97,94,1.92
43,Cahir,IE,2020-10-24 00:25:07,52.38,-7.92,55.99,89,99,5.99
44,Qaanaaq,GL,2020-10-24 00:25:07,77.48,-69.36,18.84,92,91,7.07
45,Bayir,TR,2020-10-24 00:25:07,37.27,28.22,57.2,82,0,4.7
46,Castro,BR,2020-10-24 00:25:07,-24.79,-50.01,62.37,96,40,8.81
47,Ostrovnoy,RU,2020-10-24 00:24:26,68.05,39.51,29.28,97,100,7.58
48,Murray Bridge,AU,2020-10-24 00:25:07,-35.12,139.27,55.99,85,56,21.94
49,Mar Del Plata,AR,2020-10-24 00:25:07,-38.0,-57.56,59.0,100,75,5.82
50,Tilichiki,RU,2020-10-24 00:25:07,60.47,166.1,34.83,86,0,5.88
51,Puerto Ayora,EC,2020-10-24 00:23:03,-0.74,-90.35,69.01,92,57,1.99
52,Greystones,IE,2020-10-24 00:25:08,53.14,-6.06,52.0,89,100,5.99
53,Chokurdakh,RU,2020-10-24 00:25:08,70.63,147.92,9.75,91,98,7.0
54,Kemi,FI,2020-10-24 00:25:08,65.86,24.82,28.4,79,90,8.05
55,Port Alfred,ZA,2020-10-24 00:25:08,-33.59,26.89,67.8,90,82,16.87
56,Dahuk,IQ,2020-10-24 00:25:08,36.87,42.99,62.51,28,0,3.62
57,Khatanga,RU,2020-10-24 00:25:08,71.97,102.5,13.82,97,100,10.38
58,Geraldton,AU,2020-10-24 00:25:08,-28.77,114.6,71.6,33,0,8.05
59,Halver,DE,2020-10-24 00:23:39,51.19,7.5,54.0,97,18,1.99
60,Albany,US,2020-10-24 00:23:12,42.6,-73.97,66.99,80,52,7.14
61,Hovd,MN,2020-10-24 00:25:08,48.01,91.64,37.11,67,100,5.19
62,Bossangoa,CF,2020-10-24 00:25:08,6.49,17.46,71.67,95,100,3.78
63,West Athens,US,2020-10-24 00:25:08,33.92,-118.3,69.8,68,1,9.17
64,Mayumba,GA,2020-10-24 00:25:08,-3.43,10.66,76.8,86,100,7.38
65,Mgandu,TZ,2020-10-24 00:25:09,-5.95,34.13,62.35,74,3,7.81
66,Saint George,US,2020-10-24 00:21:18,37.1,-113.58,73.99,17,1,4.41
67,Peace River,CA,2020-10-24 00:25:09,56.25,-117.29,21.2,53,90,8.05
68,Faanui,PF,2020-10-24 00:25:09,-16.48,-151.75,79.03,72,45,9.71
69,Victoria,HK,2020-10-24 00:21:10,22.29,114.16,73.99,47,100,1.99
70,Khash,IR,2020-10-24 00:25:09,28.22,61.22,44.85,50,0,6.08
71,Katobu,ID,2020-10-24 00:25:09,-4.94,122.53,87.22,61,11,2.68
72,Nemuro,JP,2020-10-24 00:25:09,43.32,145.57,57.2,71,20,10.29
73,Carnarvon,AU,2020-10-24 00:25:09,-24.87,113.63,73.4,64,0,18.34
74,Hithadhoo,MV,2020-10-24 00:23:17,-0.6,73.08,82.11,79,53,11.81
75,Scarborough,GB,2020-10-24 00:25:09,54.28,-0.4,44.01,86,70,1.01
76,Husavik,IS,2020-10-24 00:25:10,66.04,-17.34,41.0,80,90,8.05
77,Navashino,RU,2020-10-24 00:25:10,55.53,42.2,49.69,91,42,10.71
78,Kapaa,US,2020-10-24 00:25:10,22.08,-159.32,80.6,78,90,12.75
79,Lata,PT,2020-10-24 00:25:10,40.16,-8.33,55.99,87,15,1.88
80,Herat,AF,2020-10-24 00:25:10,34.5,62.0,40.8,64,0,11.1
81,Rio Grande,BR,2020-10-24 00:20:48,-32.03,-52.1,64.0,94,100,9.44
82,Sambava,MG,2020-10-24 00:25:10,-14.27,50.17,70.48,83,5,9.57
83,Leh,IN,2020-10-24 00:25:10,34.17,77.58,30.45,76,0,2.95
84,Dingalan,PH,2020-10-24 00:25:10,15.39,121.39,80.67,78,100,0.63
85,Nikolskoye,RU,2020-10-24 00:25:11,59.7,30.79,37.4,73,75,8.95
86,Ugoofaaru,MV,2020-10-24 00:25:11,5.67,73.0,81.27,80,87,12.97
87,Bengkulu,ID,2020-10-24 00:25:11,-3.8,102.27,76.53,87,100,4.59
88,Port Augusta,AU,2020-10-24 00:25:11,-32.5,137.77,60.8,59,90,18.34
89,Sao Joao Da Barra,BR,2020-10-24 00:22:51,-21.64,-41.05,73.08,79,100,13.42
90,Constitucion,CL,2020-10-24 00:25:11,-35.33,-72.42,51.01,80,0,11.07
